StudentID,Student_Last_Name,Student_First_Name,Suffix,Gender,Course,Department,Section,Student Email,StudentContactNo,Attends regularly.,Starts the work promptly.,Wear clothes suitable to his / her work.,Courteous and considerate.,Express his / her ideas well.,Listens attentively to trainer.,Displays interest in the field of ICT.,Careful in handling tools and equipment,Works to develop a variety of skills.,"Generally, a potential leader.",Accepts responsibility.,Volunteers for an assignment.,Makes worthwhile suggestions.,Exhibits orderly / safe work station.,Applies principle to actual work station.,Prepares report accurately.,Submits report punctually.,Works well under pressure.,"Knows the functions, requirements & responsibilities",Is generally open for growth & development.,Total Points Earned,Equivalent Rating,Remark
S001,Santos,Maria,,Male,BS Information Technology,College of Computer Studies,BSIT - 4B,maria_santos@vaia.edu.ph,9580926382,5,4,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,97,Very Satisfactory,Passed
S002,Reyes,Jose,,Female,BS Information Technology,College of Computer Studies,BSIT - 4B,jose_reyes@vaia.edu.ph,9426486138,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100,Outstanding,Passed
S003,Cruz,Christian,III,Male,BS Information Technology,College of Computer Studies,BSIT - 4B,christian_cruz@vaia.edu.ph,9198941367,5,5,4,4,5,5,5,4,5,4,5,4,5,4,5,4,5,4,4,5,91,Satisfactory,Passed
S004,Garcia,Michael,,Male,BS Information Technology,College of Computer Studies,BSIT - 4B,michael_garcia@vaia.edu.ph,9203173155,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100,Outstanding,Passed
S005,Dela Cruz,Gabriel,,Male,BS Information Technology,College of Computer Studies,BSIT - 4B,gabriel_dela_cruz@vaia.edu.ph,9935191937,3,4,4,4,3,3,4,4,4,3,4,4,3,3,4,3,3,3,3,3,69,Unsatisfactory,Failed
S006,Delos Santos,Sofia,,Female,BS Information Technology,College of Computer Studies,BSIT - 4B,sofia_delos_santos@vaia.edu.ph,9433722216,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,4,5,5,4,96,Very Satisfactory,Passed
S007,Ramos,Isabela,,Female,BS Information Technology,College of Computer Studies,BSIT - 4B,isabela_ramos@vaia.edu.ph,9765103429,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,98,Outstanding,Passed
S008,Mendoza,Daniel,,Female,BS Information Technology,College of Computer Studies,BSIT - 4B,daniel_mendoza@vaia.edu.ph,9477033509,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100,Outstanding,Passed
S009,Torres,Elias,Jr.,Male,BS Information Technology,College of Computer Studies,BSIT - 4B,elias_torres@vaia.edu.ph,9385072051,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,98,Outstanding,Passed
S010,Castro,Andrea,,Female,BS Information Technology,College of Computer Studies,BSIT - 4B,andrea_castro@vaia.edu.ph,9893975510,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100,Outstanding,Passed
